epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
82,929.005,0.04696,0.92205,1,0.29415,0.0001981,0.0001981,0.0001981
83,940.352,0.0469,0.92737,1,0.29316,0.0001882,0.0001882,0.0001882
84,951.602,0.04737,0.92471,1,0.29837,0.0001783,0.0001783,0.0001783
85,962.602,0.0419,0.92737,1,0.30819,0.0001684,0.0001684,0.0001684
86,973.778,0.03766,0.92383,1,0.30931,0.0001585,0.0001585,0.0001585
87,985.016,0.0376,0.93268,1,0.29795,0.0001486,0.0001486,0.0001486
88,996.263,0.03951,0.93091,1,0.30967,0.0001387,0.0001387,0.0001387
89,1007.15,0.04659,0.93534,1,0.3021,0.0001288,0.0001288,0.0001288
90,1018.6,0.0384,0.93268,1,0.29399,0.0001189,0.0001189,0.0001189
91,1031.67,0.03837,0.9318,1,0.29092,0.000109,0.000109,0.000109
92,1042.95,0.04032,0.93357,1,0.29279,9.91e-05,9.91e-05,9.91e-05
93,1053.9,0.03974,0.93268,1,0.28845,8.92e-05,8.92e-05,8.92e-05
94,1065.59,0.03511,0.93357,1,0.29182,7.93e-05,7.93e-05,7.93e-05
95,1076.13,0.03243,0.93446,1,0.29605,6.94e-05,6.94e-05,6.94e-05
96,1087.42,0.03884,0.93446,1,0.29384,5.95e-05,5.95e-05,5.95e-05
97,1098.74,0.0352,0.93446,1,0.29519,4.96e-05,4.96e-05,4.96e-05
98,1109.94,0.03116,0.93357,1,0.29472,3.97e-05,3.97e-05,3.97e-05
99,1121.43,0.03416,0.93357,1,0.29409,2.98e-05,2.98e-05,2.98e-05
100,1132.98,0.03479,0.9318,1,0.29717,1.99e-05,1.99e-05,1.99e-05
